main.COMMON.channel_1647331140_1|Interne|Internal|interna|intern
main.COMMON.channel_1647363012_1|1|1|1|1
main.COMMON.channel_1647363012_2|2|2|2|2
main.COMMON.channel_1647363012_3|3|3|3|3
main.COMMON.channel_1647363012_4|4|4|4|4
main.COMMON.channel_1647542564_1|Interne|Internal|interna|intern
main.COMMON.channel_1647542564_2|1|1|1|1
main.COMMON.channel_1647542564_3|2|2|2|2
main.COMMON.channel_1647560644_1|Interne 1|Internal 1|Interna 1|Intern 1
main.COMMON.channel_1647560644_2|Interne 2|Internal 2|Internal 2|Intern 2
main.COMMON.channel_1647560644_3|Interne 3|Internal 3|Interno 3|Intern 3
main.COMMON.channel_1647560644_4|Interne 4|Internal 4|Internal 4|Intern 4
main.COMMON.channel_1647542564_4|3|3|3|3
main.COMMON.channel_1648328996_1|Interne|Internal|interna|intern
main.COMMON.channel_1647542564_5|4|4|4|4
main.COMMON.channel_1648328996_2|1-CTS|1-CTS|1-CTS|1-CTS
main.COMMON.channel_1648328996_3|2-CTS|2-CTS|2-CTS|2-CTS
main.COMMON.channel_1648328996_4|3-CTS|3-CTS|3-CTS|3-CTS
main.COMMON.channel_1648328996_5|4-CTS|4-CTS|4-CTS|4-CTS
main.COMMON.mailNotificationTitle|Gestion des alertes|Alert Management|Gestión de alertas|Benachrichtigungsverwaltung
main.COMMON.mailNotification|Alertes par mail|Alerts by email|Alertas por correo electrónico|Benachrichtigungen per E-Mail
main.COMMON.mailNotificationTechnical|Recevoir les alarmes techniques|Receive technical alarms|Recibe alarmas técnicas|Erhalten Sie technische Alarme
main.COMMON.mailNotificationThreshold|Recevoir les alarmes sur seuils|Receive alarms on thresholds|Recibe alarmas en umbrales|Alarme bei Schwellenwerten empfangen
main.COMMON.passwordStrategyTitle|Gestion de la stratégie des mots de passe|Password strategy management|Gestión de estrategia de contraseña|Passwort Strategieverwaltung
main.COMMON.passwordStrategyUnit|Jour(s)|Days)|Día (s)|Tag (e)
main.COMMON.passwordStrategyLabel|Durée de validité des mots de passe|Duration of validity of passwords|Duración de la validez de las contraseñas|Gültigkeitsdauer von Passwörtern
main.COMMON.LORA_DEVICE_NOT_FOUND|L'appareil n'existe pas|The device does not exist|El dispositivo no existe|Das Gerät existiert nicht
main.COMMON.passwordStrategyPlaceholder|Par défaut, 90 jours de validité|By default, 90 days of validity|Por defecto, 90 días de validez|Standardmäßig 90 Tage gültig
main.COMMON.LORA_DEVICE_ALREADY_REGISTERED|L'appareil est déjà enregistré|The device is already registered|El dispositivo ya está registrado|Das Gerät ist bereits registriert
main.COMMON.LORA_DEVICE_SITE_NOT_FOUND|Le site est introuvable|The site was not found|El sitio no fue encontrado|Die Seite wurde nicht gefunden
main.COMMON.passwordStrategyDescription|Nombre de jours maximal de validité des mots de passes sur vos différents sites (en nombre de jours).|Maximum number of days passwords valid on your different sites (in number of days).|Número máximo de días válidos en sus diferentes sitios (en número de días).|Maximale Anzahl von Tagen, die auf Ihren verschiedenen Websites gültig sind (in Tagen).
main.COMMON.selectAll|Tout sélectionner|Select all|Seleccionar todo|Wähle alle aus
main.COMMON.all|Tous|All|todos|alle
main.COMMON.all_female|Toutes|All|Todas|alle
main.COMMON.cancel|Annuler|Cancel|anular|stornieren
main.COMMON.ok|OK|OK|bueno|Ok
main.COMMON.unselectAll|Tout désélectionner|Anything wrong|Algo mal|Irgendetwas stimmt nicht
main.COMMON.valid|Valider|Validate|validar|bestätigen
main.COMMON.send|Envoyer|To send|enviar a|senden
main.COMMON.defaultZoneName|Zone par défaut|Zone by default|Zona por defecto|Zone standardmäßig
main.COMMON.save|Enregistrer|Record|registro|Rekord
main.COMMON.delete|Supprimer|Remove|eliminar|entfernen
main.COMMON.add|Ajouter|Add|añadir|hinzufügen
main.COMMON.hour|Heure|Hour|Hora|Zeit
main.COMMON.date|Date|Dated|fecha|Datum
main.COMMON.channel|Voie|way|camino|Weg
main.COMMON.channelInternal|interne|internal|interna|intern
main.COMMON.errorFieldsMandatory|Veuillez renseigner tous les champs|Please fill in all fields|Por favor complete todos los campos|Bitte füllen Sie alle Felder aus
main.COMMON.unit_unknown|Unité non spécifiée|Unit unspecified|Unidad no especificada|Einheit nicht angegeben
main.COMMON.errorMaxProfile|Nombre maximum de profils atteint|Maximum number of profiles reached|Número máximo de perfiles alcanzados|Maximale Anzahl der erreichten Profile
main.COMMON.errorNameExists|Le nom de profil n'est pas disponible|Profile name is not available|El nombre del perfil no está disponible|Der Profilname ist nicht verfügbar
main.COMMON.errorConfirmationMismatch|La confirmation du mot de passe ne correspond pas|Confirmation of the password does not match|La confirmación de la contraseña no coincide|Die Bestätigung des Passwortes stimmt nicht überein
main.COMMON.USER_EXISTS|Le nom d'utilisateur n'est pas disponible|Username is not available|El nombre de usuario no está disponible|Der Benutzername ist nicht verfügbar
main.COMMON.MAIL_EXISTS|L'adresse mail n'est pas disponible|The email address is not available|La dirección de correo electrónico no está disponible|Die E-Mail-Adresse ist nicht verfügbar
main.COMMON.LICENSE_CODE_INVALID|Le code abonnement est invalide|The subscription code is invalid|El código de suscripción no es válido|Der Abonnementcode ist ungültig
main.COMMON.USER_OR_MAIL_EXISTS|Le nom d'utilisateur ou le mail ne sont pas disponibles|Username or email are not available|Nombre de usuario o correo electrónico no están disponibles|Benutzername oder E-Mail sind nicht verfügbar
main.COMMON.LICENSE_USED|Le code abonnement a déjà été utilisé|The subscription code has already been used|El código de suscripción ya ha sido utilizado|Der Abonnementcode wurde bereits verwendet
main.COMMON.LICENSE_KEY_INVALID|Le code produit est invalide|Product code is invalid|El código del producto no es válido|Der Produktcode ist ungültig
main.COMMON.LICENSE_MAX_USERS|Vous avez atteint la limite du nombre d'utilisateurs actifs|You have reached the limit of the number of active users|Has alcanzado el límite de la cantidad de usuarios activos|Sie haben das Limit der Anzahl aktiver Benutzer erreicht
main.COMMON.MASTER_NOT_FOUND|La license est introuvable|The license is not found|La licencia no se encuentra|Die Lizenz wurde nicht gefunden
main.COMMON.LICENSE_MAX_SLAVES|Vous avez atteint la limite du nombre d'appareils actifs|You have reached the limit of the number of active devices|Has alcanzado el límite de la cantidad de dispositivos activos|Sie haben das Limit der Anzahl der aktiven Geräte erreicht
main.COMMON.lastName|Nom|Name|apellido|Name
main.COMMON.firstName|Prénom|PrÃ © name|Nombre PrÃ ©|PrÃ © Name
main.COMMON.mail|Adresse mail|Mail address|Correo electrónico|E-Mail-Adresse
main.COMMON.password|Mot de passe|Password|Contraseña|Passwort
main.COMMON.login|Identifiant de connexion|Connection identifier|ID de acceso|Login-ID
main.COMMON.LICENSE_MAX_READ_DATA|Vous ne pouvez consulter les données que sur une période de {1} mois glissants|You can only view data over a rolling {1} month period|Solo puede ver los datos durante un período de {1} mes continuo|Sie können Daten nur über einen Zeitraum von {1} Monaten hinweg anzeigen
main.COMMON.confirmation|Confirmation|Confirmation|confirmación|Bestätigung
main.COMMON.name|Nom|Name|apellido|Name
main.COMMON.unit_0|aucune|any|no|keine
main.COMMON.unit_1|m/s|m / s|m / s|m / s
main.COMMON.unit_2|fpm|fpm|FPM|fpm
main.COMMON.unit_5|cfm|cfm|pcm|cfm
main.COMMON.unit_6|m3/s|m3 / s|m3 / s|m3 / s
main.COMMON.SITE_EXISTS|Le site est déjà enregistré sur un autre compte|The site is already registered on another account|El sitio ya está registrado en otra cuenta|Die Website ist bereits auf einem anderen Konto registriert
main.COMMON.unit_7|°C|Â ° C|Â ° C|Â ° C
main.COMMON.unit_8|°F|Â ° F|Â ° F|Â ° F
main.COMMON.unit_9|%RH|% RH|% de humedad relativa|% RH
main.COMMON.unit_4|L/s|L / s|L / s|L / s
main.COMMON.unit_11|Pa|Pa|Pensilvania|Pa
main.COMMON.unit_10|%PSI|PSI%|PSI%|PSI%
main.COMMON.unit_12|mmH2O|mmH2O|mmH2O|mmH2O
main.COMMON.unit_13|inWg|INWG|INWG|INWG
main.COMMON.unit_14|kPa|kPa|kPa|kPa
main.COMMON.unit_3|m3/h|m3 / h|m3 / h|m3 / h
main.COMMON.unit_15|mmHg|mmHg|mmHg|mmHg
main.COMMON.unit_16|mbar|mbar|mbar|mbar
main.COMMON.unit_17|absolueg/kg|absolueg / kg|absolueg / kg|absolueg / kg
main.COMMON.unit_22|kJ/kg|kJ / kg|kJ / kg|kJ / kg
main.COMMON.unit_23|mA|my|mA|mA
main.COMMON.unit_24|A|AT|la|A
main.COMMON.unit_20|°C Tw|Â ° C Tw|Â ° C Tw|° C Tw
main.COMMON.unit_21|°F Tw|Â ° F Tw|Â ° F Tw|° F Tw
main.COMMON.unit_18|°C Td|Â ° C Td|Â ° C Td|° C Td
main.COMMON.unit_19|°F Td|Â ° F Td|Â ° F Td|° F Td
main.COMMON.unit_25|mV|mV|mV|mV
main.COMMON.unit_26|V|V|V|V
main.COMMON.unit_32|pulse|pulse|pulso|Puls
main.COMMON.unit_27|lux|lux|lux|Lux
main.COMMON.unit_33|pulses|pulse|pulso|Puls
main.COMMON.unit_34|KelvinK|Kelvink|Kelvink|Kelvink
main.COMMON.unit_36|mph|mph|mph|mph
main.COMMON.unit_35|km/h|km / h|km / h|km / h
main.COMMON.unit_37|Hz|Hz|hz|Hz
main.COMMON.unit_39|rpm|rpm|rpm|rpm
main.COMMON.unit_38|tr/min|rev / min|rev / min|U / min
main.COMMON.unit_31|unité libre|free unit|unidad libre|freie Einheit
main.COMMON.unit_40|m/min|m / min|m / min|m / min
main.COMMON.unit_42|bar|bar|bar|Bar
main.COMMON.unit_41|in/min|in / min|en / min|in / min
main.COMMON.unit_43|daPa|daPa|daPa|daPa
main.COMMON.unit_44|hPa|hPa|hPa|hPa
main.COMMON.unit_45|ppm|ppm|ppm|ppm
main.COMMON.unit_46|dB|dB|dB|dB
main.COMMON.unit_lora_0|aucune|any|no|keine
main.COMMON.unit_47|ohms|ohms|ohmios|Ohm
main.COMMON.unit_lora_1|%RH|% RH|% de humedad relativa|% RH
main.COMMON.unit_lora_2||||
main.COMMON.unit_lora_3|unité libre|free unit|unidad libre|freie Einheit
main.COMMON.unit_lora_16|°C|Â ° C|Â ° C|Â ° C
main.COMMON.unit_lora_17|°F|Â ° F|Â ° F|Â ° F
main.COMMON.unit_lora_18|K|K|K|K
main.COMMON.unit_lora_32|%RH|% RH|% de humedad relativa|% RH
main.COMMON.unit_lora_33|g/kg|g / kg|g / kg|g / kg
main.COMMON.unit_lora_34|kJ/kg|kJ / kg|kJ / kg|kJ / kg
main.COMMON.unit_lora_35|°CTd|Â ° Ctd|Â ° Ctd|Â ° Ctd
main.COMMON.unit_lora_15|unité inconnue|unknown unit|unidad desconocida|unbekannte Einheit
main.COMMON.unit_lora_36|°FTd|Â ° FTD|Â ° FTD|Â ° FTD
main.COMMON.unit_lora_38|°F Tw|Â ° F Tw|Â ° F Tw|° F Tw
main.COMMON.unit_lora_37|°C Tw|Â ° C Tw|Â ° C Tw|° C Tw
main.COMMON.unit_lora_19|Delta °C|Delta Â ° C|Delta Â ° C|Delta ° C
main.COMMON.unit_lora_20|Delta °F|Delta Â ° F|Delta ° F|Delta ° F
main.COMMON.unit_lora_39|g/m3|g / m3|g / m3|g / m3
main.COMMON.unit_lora_48|bar|bar|bar|Bar
main.COMMON.unit_lora_49|PSI|PSI|PSI|PSI
main.COMMON.unit_lora_51|inWg|INWG|INWG|INWG
main.COMMON.unit_lora_50|kPa|kPa|kPa|kPa
main.COMMON.unit_lora_52|hPa|hPa|hPa|hPa
main.COMMON.unit_lora_53|mbar|mbar|mbar|mbar
main.COMMON.unit_lora_54|mmHg|mmHg|mmHg|mmHg
main.COMMON.unit_lora_55|mmH2O|mmH2O|mmH2O|mmH2O
main.COMMON.unit_lora_56|daPa|daPa|daPa|daPa
main.COMMON.unit_lora_57|Pa|Pa|Pensilvania|Pa
main.COMMON.unit_lora_64|m/s|m / s|m / s|m / s
main.COMMON.unit_lora_65|fpm|fpm|FPM|fpm
main.COMMON.unit_lora_66|km/h|km / h|km / h|km / h
main.COMMON.unit_lora_67|mph|mph|mph|mph
main.COMMON.unit_lora_80|m3/h|m3 / h|m3 / h|m3 / h
main.COMMON.unit_lora_82|cfm|cfm|pcm|cfm
main.COMMON.unit_lora_81|l/s|l / s|l / s|l / s
main.COMMON.unit_lora_83|m3/s|m3 / s|m3 / s|m3 / s
main.COMMON.unit_lora_84|nm3/h|Nm3 / h|Nm3 / h|Nm3 / h
main.COMMON.unit_lora_85|dm3/h|dm3 / h|dm3 / h|dm3 / h
main.COMMON.unit_lora_96|Hz|Hz|hz|Hz
main.COMMON.unit_lora_97|tr/min|rev / min|rev / min|U / min
main.COMMON.unit_lora_98|rpm|rpm|rpm|rpm
main.COMMON.unit_lora_100|in/min|in / min|en / min|in / min
main.COMMON.unit_lora_99|m/min|m / min|m / min|m / min
main.COMMON.unit_lora_102|m/s|m / s|m / s|m / s
main.COMMON.unit_lora_112|ppm|ppm|ppm|ppm
main.COMMON.unit_lora_101|ft/min|ft / min|ft / min|ft / min
main.COMMON.unit_lora_113|mg/m3|mg / m3|mg / m3|mg / m3
main.COMMON.unit_lora_114|mg/kWh|mg / kWh|mg / kWh|mg / kWh
main.COMMON.unit_lora_115|g/kWh|g / kWh|g / kWh|g / kWh
main.COMMON.unit_lora_116|g/GJ|g / GJ|g / GJ|g / GJ
main.COMMON.unit_lora_117|g/m3|g / m3|g / m3|g / m3
main.COMMON.unit_lora_118|%|%|%|%
main.COMMON.unit_lora_128|lux|lux|lux|Lux
main.COMMON.unit_lora_129|fc|fc|fc|fc
main.COMMON.unit_lora_120|g/an|g / year|g / año|g / Jahr
main.COMMON.unit_lora_130|W/m2|W / m2|W / m2|W / m2
main.COMMON.unit_lora_131|klux|klux|klux|klux
main.COMMON.unit_lora_144|db|db|db|db
main.COMMON.unit_lora_132|kfc|kfc|KFC|kfc
main.COMMON.unit_lora_160|mV|mV|mV|mV
main.COMMON.unit_lora_119|% LIE|% LIE|% MENTIRA|% LIE
