webapp.COMMON.terminate|Terminer
webapp.COMMON.previous|Précédent
webapp.COMMON.next|Suivant
webapp.COMMON.days|Jour(s)
webapp.COMMON.mailNotificationTitle|Gestion des alertes
webapp.COMMON.mailNotification|Alertes par mail
webapp.COMMON.mailNotificationThreshold|Recevoir les alarmes sur seuils
webapp.COMMON.mailNotificationTechnical|Recevoir les alarmes techniques
webapp.COMMON.LORA_DEVICE_NOT_FOUND|L'appareil n'existe pas
webapp.COMMON.LORA_DEVICE_ALREADY_REGISTERED|L'appareil est déjà enregistré
webapp.COMMON.LORA_DEVICE_SITE_NOT_FOUND|Le site est introuvable
webapp.COMMON.selectAll|Tout sélectionner
webapp.COMMON.unselectAll|Tout désélectionner
webapp.COMMON.defaultZoneName|Zone par défaut
webapp.COMMON.all|Tous
webapp.COMMON.all_female|Toutes
webapp.COMMON.cancel|Annuler
webapp.COMMON.ok|OK
webapp.COMMON.valid|Valider
webapp.COMMON.send|Envoyer
webapp.COMMON.add|Ajouter
webapp.COMMON.save|Enregistrer
webapp.COMMON.delete|Supprimer
webapp.COMMON.date|Date
webapp.COMMON.hour|Heure
webapp.COMMON.channel|Voie
webapp.COMMON.channelInternal|interne
webapp.COMMON.unit_unknown|Unité non spécifiée
webapp.COMMON.errorFieldsMandatory|Veuillez renseigner tous les champs
webapp.COMMON.errorConfirmationMismatch|La confirmation du mot de passe ne correspond pas
webapp.COMMON.errorMaxProfile|Nombre maximum de profils atteint
webapp.COMMON.errorNameExists|Le nom de profil n'est pas disponible
webapp.COMMON.USER_EXISTS|Le nom d'utilisateur n'est pas disponible
webapp.COMMON.MAIL_EXISTS|L'adresse mail n'est pas disponible
webapp.COMMON.USER_OR_MAIL_EXISTS|Le nom d'utilisateur ou le mail ne sont pas disponibles
webapp.COMMON.LICENSE_CODE_INVALID|Le code abonnement est invalide
webapp.COMMON.LICENSE_USED|Le code abonnement a déjà été utilisé
webapp.COMMON.LICENSE_MAX_USERS|Vous avez atteint la limite du nombre d'utilisateurs actifs
webapp.COMMON.LICENSE_MAX_READ_DATA|Vous ne pouvez consulter les données que sur une période de {1} mois glissants
webapp.COMMON.LICENSE_MAX_SLAVES|Vous avez atteint la limite du nombre d'appareils actifs
webapp.COMMON.LICENSE_KEY_INVALID|Le code produit est invalide
webapp.COMMON.MASTER_NOT_FOUND|La license est introuvable
webapp.COMMON.SITE_EXISTS|Le site est déjà enregistré sur un autre compte
webapp.COMMON.login|Identifiant de connexion
webapp.COMMON.lastName|Nom
webapp.COMMON.firstName|Prénom
webapp.COMMON.mail|Adresse mail
webapp.COMMON.password|Mot de passe
webapp.COMMON.confirmation|Confirmation
webapp.COMMON.name|Nom
webapp.COMMON.unit_0|aucune
webapp.COMMON.unit_1|m/s
webapp.COMMON.unit_2|fpm
webapp.COMMON.unit_3|m3/h
webapp.COMMON.unit_4|L/s
webapp.COMMON.unit_5|cfm
webapp.COMMON.unit_6|m3/s
webapp.COMMON.unit_7|°C
webapp.COMMON.unit_8|°F
webapp.COMMON.unit_9|%RH
webapp.COMMON.unit_10|%PSI
webapp.COMMON.unit_11|Pa
webapp.COMMON.unit_12|mmH2O
webapp.COMMON.unit_13|inWg
webapp.COMMON.unit_14|kPa
webapp.COMMON.unit_15|mmHg
webapp.COMMON.unit_16|mbar
webapp.COMMON.unit_17|absolueg/kg
webapp.COMMON.unit_18|°C Td
webapp.COMMON.unit_19|°F Td
webapp.COMMON.unit_20|°C Tw
webapp.COMMON.unit_21|°F Tw
webapp.COMMON.unit_22|kJ/kg
webapp.COMMON.unit_23|mA
webapp.COMMON.unit_24|A
webapp.COMMON.unit_25|mV
webapp.COMMON.unit_26|V
webapp.COMMON.unit_27|lux
webapp.COMMON.unit_31|unité libre
webapp.COMMON.unit_32|pulse
webapp.COMMON.unit_33|pulses
webapp.COMMON.unit_34|KelvinK
webapp.COMMON.unit_35|km/h
webapp.COMMON.unit_36|mph
webapp.COMMON.unit_37|Hz
webapp.COMMON.unit_38|tr/min
webapp.COMMON.unit_39|rpm
webapp.COMMON.unit_40|m/min
webapp.COMMON.unit_41|in/min
webapp.COMMON.unit_42|bar
webapp.COMMON.unit_43|daPa
webapp.COMMON.unit_44|hPa
webapp.COMMON.unit_45|ppm
webapp.COMMON.unit_46|dB
webapp.COMMON.unit_47|ohms
webapp.COMMON.unit_lora_0|aucune
webapp.COMMON.unit_lora_1|%RH
webapp.COMMON.unit_lora_2|
webapp.COMMON.unit_lora_3|unité libre
webapp.COMMON.unit_lora_15|unité inconnue
webapp.COMMON.unit_lora_16|°C
webapp.COMMON.unit_lora_17|°F
webapp.COMMON.unit_lora_18|K
webapp.COMMON.unit_lora_19|Delta °C
webapp.COMMON.unit_lora_20|Delta °F
webapp.COMMON.unit_lora_32|%RH
webapp.COMMON.unit_lora_33|g/kg
webapp.COMMON.unit_lora_34|kJ/kg
webapp.COMMON.unit_lora_35|°CTd
webapp.COMMON.unit_lora_36|°FTd
webapp.COMMON.unit_lora_37|°C Tw
webapp.COMMON.unit_lora_38|°F Tw
webapp.COMMON.unit_lora_39|g/m3
webapp.COMMON.unit_lora_48|bar
webapp.COMMON.unit_lora_49|PSI
webapp.COMMON.unit_lora_50|kPa
webapp.COMMON.unit_lora_51|inWg
webapp.COMMON.unit_lora_52|hPa
webapp.COMMON.unit_lora_53|mbar
webapp.COMMON.unit_lora_54|mmHg
webapp.COMMON.unit_lora_55|mmH2O
webapp.COMMON.unit_lora_56|daPa
webapp.COMMON.unit_lora_57|Pa
webapp.COMMON.unit_lora_64|m/s
webapp.COMMON.unit_lora_65|fpm
webapp.COMMON.unit_lora_66|km/h
webapp.COMMON.unit_lora_67|mph
webapp.COMMON.unit_lora_80|m3/h
webapp.COMMON.unit_lora_81|l/s
webapp.COMMON.unit_lora_82|cfm
webapp.COMMON.unit_lora_83|m3/s
webapp.COMMON.unit_lora_84|nm3/h
webapp.COMMON.unit_lora_85|dm3/h
webapp.COMMON.unit_lora_96|Hz
webapp.COMMON.unit_lora_97|tr/min
webapp.COMMON.unit_lora_98|rpm
webapp.COMMON.unit_lora_99|m/min
webapp.COMMON.unit_lora_100|in/min
webapp.COMMON.unit_lora_101|ft/min
webapp.COMMON.unit_lora_102|m/s
webapp.COMMON.unit_lora_112|ppm
webapp.COMMON.unit_lora_113|mg/m3
webapp.COMMON.unit_lora_114|mg/kWh
webapp.COMMON.unit_lora_115|g/kWh
webapp.COMMON.unit_lora_116|g/GJ
webapp.COMMON.unit_lora_117|g/m3
webapp.COMMON.unit_lora_118|%
webapp.COMMON.unit_lora_119|% LIE
webapp.COMMON.unit_lora_120|g/an
webapp.COMMON.unit_lora_128|lux
webapp.COMMON.unit_lora_129|fc
webapp.COMMON.unit_lora_130|W/m2
webapp.COMMON.unit_lora_131|klux
webapp.COMMON.unit_lora_132|kfc
webapp.COMMON.unit_lora_144|db
webapp.COMMON.unit_lora_160|mV
webapp.COMMON.unit_lora_161|V
webapp.COMMON.unit_lora_162|µA
webapp.COMMON.unit_lora_163|mA
webapp.COMMON.unit_lora_164|A
webapp.COMMON.unit_lora_165|Ohms
webapp.COMMON.unit_lora_176|wbgt
webapp.COMMON.unit_lora_177|W/m2/K
webapp.COMMON.unit_lora_192|s
webapp.COMMON.unit_lora_193|min
webapp.COMMON.unit_lora_194|h
webapp.COMMON.unit_lora_208|mm
webapp.COMMON.unit_lora_209|in
webapp.COMMON.unit_lora_210|m
webapp.COMMON.unit_lora_255|Comptage
webapp.COMMON.source_0|Application
webapp.COMMON.source_1|Appareil
webapp.COMMON.source_2|Alarme Deportée
webapp.COMMON.source_3|Voie Calculée
webapp.COMMON.source_4|Base De Communication
webapp.COMMON.source_5|Cloud
webapp.COMMON.code_1|Application Lancée
webapp.COMMON.code_2|Application Fermée
webapp.COMMON.code_3|Modification Préférences
webapp.COMMON.code_4|Modification Paramètres Messagerie
webapp.COMMON.code_10|Connexion Utilisateur
webapp.COMMON.code_11|Deconnexion Utilisateur
webapp.COMMON.code_12|Connexion Echouée
webapp.COMMON.code_13|Ajout Utilisateur
webapp.COMMON.code_14|Modification Utilisateur
